STATE,STATENAME,ST_CASE,CRASHRF,CRASHRFNAME
41,Oregon,410001,0,None Noted
41,Oregon,410002,0,None Noted
41,Oregon,410003,0,None Noted
41,Oregon,410004,0,None Noted
41,Oregon,410007,0,None Noted
41,Oregon,410008,3,Other Maintenance or Construction-Created Condition
41,Oregon,410009,0,None Noted
41,Oregon,410010,0,None Noted
41,Oregon,410011,0,None Noted
41,Oregon,410012,0,None Noted
41,Oregon,410013,0,None Noted
41,Oregon,410014,0,None Noted
41,Oregon,410015,0,None Noted
41,Oregon,410016,0,None Noted
41,Oregon,410017,0,None Noted
41,Oregon,410018,0,None Noted
41,Oregon,410019,0,None Noted
41,Oregon,410020,0,None Noted
41,Oregon,410021,0,None Noted
41,Oregon,410022,0,None Noted
41,Oregon,410023,0,None Noted
41,Oregon,410024,0,None Noted
41,Oregon,410025,0,None Noted
41,Oregon,410026,0,None Noted
41,Oregon,410027,0,None Noted
41,Oregon,410029,0,None Noted
41,Oregon,410030,0,None Noted
41,Oregon,410031,0,None Noted
41,Oregon,410033,0,None Noted
41,Oregon,410035,0,None Noted
41,Oregon,410036,0,None Noted
41,Oregon,410037,0,None Noted
41,Oregon,410038,20,Police Pursuit Involved
41,Oregon,410039,0,None Noted
41,Oregon,410040,0,None Noted
41,Oregon,410041,0,None Noted
41,Oregon,410042,0,None Noted
41,Oregon,410043,0,None Noted
41,Oregon,410044,0,None Noted
41,Oregon,410045,0,None Noted
41,Oregon,410046,0,None Noted
41,Oregon,410047,0,None Noted
41,Oregon,410048,0,None Noted
41,Oregon,410049,0,None Noted
41,Oregon,410051,0,None Noted
41,Oregon,410052,0,None Noted
41,Oregon,410053,0,None Noted
41,Oregon,410054,0,None Noted
41,Oregon,410055,0,None Noted
41,Oregon,410056,0,None Noted
41,Oregon,410057,0,None Noted
41,Oregon,410058,0,None Noted
41,Oregon,410059,0,None Noted
41,Oregon,410061,19,Recent/Previous Crash scene Nearby
41,Oregon,410062,0,None Noted
