STATE,STATENAME,ST_CASE,CRASHRF,CRASHRFNAME
41,Oregon,410242,0,
41,Oregon,410243,0,
41,Oregon,410246,0,
41,Oregon,410247,0,
41,Oregon,410248,0,
41,Oregon,410249,0,
41,Oregon,410250,0,
41,Oregon,410251,0,
41,Oregon,410252,0,
41,Oregon,410253,0,
41,Oregon,410254,0,
41,Oregon,410255,0,
41,Oregon,410256,0,
41,Oregon,410257,23,Indication of a Stalled/Disabled Vehicle
41,Oregon,410258,0,
41,Oregon,410259,0,
41,Oregon,410260,0,
41,Oregon,410261,0,
41,Oregon,410262,0,
41,Oregon,410263,0,
41,Oregon,410264,0,
41,Oregon,410265,0,
41,Oregon,410266,0,
41,Oregon,410267,0,
41,Oregon,410268,0,
41,Oregon,410269,0,
41,Oregon,410270,0,
41,Oregon,410271,0,
41,Oregon,410272,0,
41,Oregon,410273,0,
41,Oregon,410274,0,
41,Oregon,410275,0,
41,Oregon,410276,0,
41,Oregon,410277,0,
41,Oregon,410278,0,
41,Oregon,410279,0,
41,Oregon,410280,0,
41,Oregon,410281,0,
41,Oregon,410282,0,
41,Oregon,410283,0,
41,Oregon,410284,0,
41,Oregon,410285,0,
41,Oregon,410286,0,
41,Oregon,410287,0,
41,Oregon,410288,0,
41,Oregon,410289,0,
41,Oregon,410290,0,
41,Oregon,410291,0,
41,Oregon,410292,0,
41,Oregon,410294,0,
41,Oregon,410295,0,
41,Oregon,410296,0,
41,Oregon,410297,0,
41,Oregon,410298,0,
41,Oregon,410299,0,
41,Oregon,410300,0,
41,Oregon,410301,0,
41,Oregon,410302,0,
41,Oregon,410303,0,
41,Oregon,410304,0,
41,Oregon,410305,23,Indication of a Stalled/Disabled Vehicle
41,Oregon,410306,0,
41,Oregon,410307,0,
41,Oregon,410308,0,
41,Oregon,410309,0,
41,Oregon,410310,0,
41,Oregon,410311,0,
41,Oregon,410312,0,
41,Oregon,410313,0,
41,Oregon,410314,0,
41,Oregon,410315,0,
41,Oregon,410316,0,
41,Oregon,410317,0,
41,Oregon,410318,0,
41,Oregon,410319,0,
41,Oregon,410320,0,
41,Oregon,410321,0,
41,Oregon,410322,0,
41,Oregon,410323,0,
41,Oregon,410324,0,
41,Oregon,410325,0,
41,Oregon,410326,0,
41,Oregon,410327,0,
41,Oregon,410328,0,
41,Oregon,410329,0,
41,Oregon,410330,0,
41,Oregon,410331,0,
41,Oregon,410332,0,
41,Oregon,410333,0,
41,Oregon,410334,0,
41,Oregon,410335,0,
41,Oregon,410336,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
41,Oregon,410337,0,
41,Oregon,410339,0,
41,Oregon,410341,0,
41,Oregon,410342,0,
41,Oregon,410343,0,
41,Oregon,410344,0,
41,Oregon,410345,0,
41,Oregon,410346,0,
41,Oregon,410347,0,
41,Oregon,410348,0,
41,Oregon,410349,0,
41,Oregon,410350,0,
41,Oregon,410351,0,
41,Oregon,410352,0,
41,Oregon,410353,0,
41,Oregon,410354,0,
41,Oregon,410355,0,
41,Oregon,410356,0,
41,Oregon,410357,0,
41,Oregon,410358,0,
41,Oregon,410359,0,
41,Oregon,410360,0,
41,Oregon,410361,0,
41,Oregon,410362,0,
41,Oregon,410363,0,
41,Oregon,410364,0,
41,Oregon,410365,0,
41,Oregon,410366,0,
41,Oregon,410367,0,
41,Oregon,410368,0,
41,Oregon,410369,0,
41,Oregon,410370,0,
41,Oregon,410371,0,
41,Oregon,410372,0,
41,Oregon,410373,0,
41,Oregon,410374,0,
41,Oregon,410375,0,
41,Oregon,410376,0,
41,Oregon,410377,0,
41,Oregon,410378,0,
41,Oregon,410379,0,
41,Oregon,410380,0,
41,Oregon,410381,0,
41,Oregon,410382,0,
41,Oregon,410383,0,
41,Oregon,410384,0,
41,Oregon,410385,0,
41,Oregon,410386,0,
41,Oregon,410387,0,
41,Oregon,410388,0,
41,Oregon,410389,0,
41,Oregon,410390,0,
41,Oregon,410391,0,
41,Oregon,410392,0,
41,Oregon,410393,0,
41,Oregon,410394,0,
41,Oregon,410395,0,
41,Oregon,410396,0,
41,Oregon,410397,0,
41,Oregon,410398,0,
41,Oregon,410399,23,Indication of a Stalled/Disabled Vehicle
41,Oregon,410400,0,
41,Oregon,410401,0,
41,Oregon,410402,0,
41,Oregon,410403,0,
41,Oregon,410404,0,
41,Oregon,410405,0,
41,Oregon,410406,0,
41,Oregon,410407,0,
41,Oregon,410408,0,
41,Oregon,410409,0,
41,Oregon,410410,0,
41,Oregon,410411,0,
41,Oregon,410412,0,
41,Oregon,410413,0,
41,Oregon,410414,0,
41,Oregon,410415,0,
41,Oregon,410416,0,
41,Oregon,410417,0,
41,Oregon,410418,0,
41,Oregon,410419,0,
41,Oregon,410420,0,
41,Oregon,410421,2,Shoulder Design or Condition
41,Oregon,410422,0,
41,Oregon,410423,0,
41,Oregon,410424,0,
41,Oregon,410425,0,
41,Oregon,410426,0,
41,Oregon,410427,0,
41,Oregon,410428,0,
41,Oregon,410429,0,
41,Oregon,410430,0,
41,Oregon,410431,0,
41,Oregon,410432,0,
41,Oregon,410433,0,
41,Oregon,410434,0,
41,Oregon,410435,0,
41,Oregon,410436,0,
41,Oregon,410437,0,
41,Oregon,410438,0,
41,Oregon,410439,0,
41,Oregon,410440,0,
41,Oregon,410441,0,
41,Oregon,410442,0,
41,Oregon,410443,0,
41,Oregon,410444,0,
41,Oregon,410445,0,
41,Oregon,410446,0,
41,Oregon,410447,0,
41,Oregon,410448,0,
41,Oregon,410449,0,
41,Oregon,410450,0,
41,Oregon,410451,0,
41,Oregon,410452,0,
41,Oregon,410453,0,
41,Oregon,410454,0,
41,Oregon,410455,0,
41,Oregon,410456,0,
41,Oregon,410457,0,
41,Oregon,410458,0,
41,Oregon,410459,0,
41,Oregon,410460,0,
41,Oregon,410461,0,
41,Oregon,410462,0,
41,Oregon,410463,0,
41,Oregon,410464,0,
41,Oregon,410465,0,
41,Oregon,410466,0,
41,Oregon,410467,0,
41,Oregon,410468,0,
41,Oregon,410469,0,
41,Oregon,410470,0,
41,Oregon,410471,0,
41,Oregon,410472,0,
41,Oregon,410473,0,
41,Oregon,410474,0,
41,Oregon,410475,0,
41,Oregon,410476,0,
41,Oregon,410477,0,
41,Oregon,410478,0,
41,Oregon,410479,0,
41,Oregon,410480,0,
41,Oregon,410481,0,
41,Oregon,410483,0,
41,Oregon,410484,0,
41,Oregon,410485,0,
41,Oregon,410486,0,
41,Oregon,410487,0,
41,Oregon,410488,0,
41,Oregon,410489,0,
41,Oregon,410490,0,
41,Oregon,410491,0,
41,Oregon,410492,0,
41,Oregon,410493,0,
41,Oregon,410494,0,
41,Oregon,410496,0,
41,Oregon,410497,0,
41,Oregon,410498,0,
41,Oregon,410499,0,
41,Oregon,410500,0,
41,Oregon,410501,0,
41,Oregon,410502,0,
41,Oregon,410503,20,Police Pursuit Involved
41,Oregon,410504,0,
41,Oregon,410505,0,
41,Oregon,410506,14,"Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle"
41,Oregon,410507,0,
41,Oregon,410508,0,
41,Oregon,410509,0,
41,Oregon,410510,0,
41,Oregon,410511,0,
41,Oregon,410512,0,
41,Oregon,410513,0,
41,Oregon,410514,0,
41,Oregon,410515,20,Police Pursuit Involved
41,Oregon,410516,0,
41,Oregon,410517,0,
41,Oregon,410518,0,
41,Oregon,410519,19,Recent/Previous Crash scene Nearby
41,Oregon,410520,0,
41,Oregon,410521,0,
41,Oregon,410522,0,
41,Oregon,410523,0,
41,Oregon,410524,0,
41,Oregon,410525,0,
41,Oregon,410526,0,
41,Oregon,410527,0,
41,Oregon,410528,0,
41,Oregon,410529,0,
41,Oregon,410530,0,
41,Oregon,410531,0,
41,Oregon,410532,0,
41,Oregon,410533,0,
41,Oregon,410534,0,
41,Oregon,410535,0,
41,Oregon,410536,0,
41,Oregon,410537,0,
41,Oregon,410539,0,
41,Oregon,410540,0,
41,Oregon,410541,0,
41,Oregon,410542,0,
41,Oregon,410543,0,
41,Oregon,410545,0,
41,Oregon,410546,0,
41,Oregon,410547,0,
41,Oregon,410548,0,
41,Oregon,410549,0,
41,Oregon,410550,0,
41,Oregon,410551,0,
41,Oregon,410552,0,
41,Oregon,410553,0,
41,Oregon,410554,0,
41,Oregon,410556,0,
41,Oregon,410557,0,
41,Oregon,410558,0,
41,Oregon,410559,0,
41,Oregon,410561,0,
41,Oregon,410563,0,
41,Oregon,410564,0,
41,Oregon,410565,0,
