STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,MPR_ACT,MPR_ACTNAME
41,Oregon,410005,0,1,3,Crossing Roadway
41,Oregon,410017,0,1,98,Not Reported
41,Oregon,410019,0,1,3,Crossing Roadway
41,Oregon,410020,0,1,3,Crossing Roadway
41,Oregon,410022,0,1,5,Movement Along Roadway with Traffic (In or Adjacent to Travel Lane)
41,Oregon,410031,0,1,3,Crossing Roadway
41,Oregon,410035,0,1,8,"In Roadway - Other (Working, Playing, Etc.)"
41,Oregon,410044,0,1,8,"In Roadway - Other (Working, Playing, Etc.)"
41,Oregon,410048,0,1,3,Crossing Roadway
41,Oregon,410051,0,1,3,Crossing Roadway
41,Oregon,410052,0,1,3,Crossing Roadway
41,Oregon,410058,0,1,3,Crossing Roadway
41,Oregon,410059,0,1,3,Crossing Roadway
41,Oregon,410061,0,1,98,Not Reported
41,Oregon,410064,0,1,3,Crossing Roadway
41,Oregon,410066,0,1,8,"In Roadway - Other (Working, Playing, Etc.)"
41,Oregon,410070,0,1,3,Crossing Roadway
41,Oregon,410078,0,1,3,Crossing Roadway
41,Oregon,410094,0,1,8,"In Roadway - Other (Working, Playing, Etc.)"
41,Oregon,410095,0,1,3,Crossing Roadway
41,Oregon,410096,0,1,16,Movement Along Roadway - Direction Unknown
41,Oregon,410102,0,1,3,Crossing Roadway
41,Oregon,410102,0,2,3,Crossing Roadway
41,Oregon,410110,0,1,3,Crossing Roadway
41,Oregon,410114,0,1,3,Crossing Roadway
41,Oregon,410118,0,1,3,Crossing Roadway
41,Oregon,410119,0,1,16,Movement Along Roadway - Direction Unknown
41,Oregon,410126,0,1,3,Crossing Roadway
41,Oregon,410127,0,1,3,Crossing Roadway
41,Oregon,410134,0,1,12,"Disabled Vehicle Related (Working on, Pushing, Leaving/Approaching)"
41,Oregon,410134,0,2,12,"Disabled Vehicle Related (Working on, Pushing, Leaving/Approaching)"
41,Oregon,410141,0,1,3,Crossing Roadway
41,Oregon,410148,0,1,98,Not Reported
41,Oregon,410150,0,1,9,"Stationary and Adjacent to Roadway (e.g., Shoulder, Median, Sidewalk)"
41,Oregon,410155,0,1,3,Crossing Roadway
41,Oregon,410155,0,1,12,"Disabled Vehicle Related (Working on, Pushing, Leaving/Approaching)"
41,Oregon,410156,0,1,99,Reported as Unknown
41,Oregon,410160,0,1,8,"In Roadway - Other (Working, Playing, Etc.)"
41,Oregon,410172,0,1,3,Crossing Roadway
41,Oregon,410174,0,1,5,Movement Along Roadway with Traffic (In or Adjacent to Travel Lane)
41,Oregon,410183,0,1,5,Movement Along Roadway with Traffic (In or Adjacent to Travel Lane)
41,Oregon,410194,0,1,3,Crossing Roadway
41,Oregon,410196,0,1,3,Crossing Roadway
41,Oregon,410240,0,1,3,Crossing Roadway
41,Oregon,410253,0,1,3,Crossing Roadway
41,Oregon,410255,0,1,3,Crossing Roadway
41,Oregon,410258,0,1,3,Crossing Roadway
41,Oregon,410270,0,1,3,Crossing Roadway
41,Oregon,410271,0,1,3,Crossing Roadway
41,Oregon,410272,0,1,3,Crossing Roadway
41,Oregon,410272,0,2,3,Crossing Roadway
41,Oregon,410280,0,1,3,Crossing Roadway
41,Oregon,410283,0,1,3,Crossing Roadway
41,Oregon,410284,0,1,3,Crossing Roadway
41,Oregon,410285,0,1,3,Crossing Roadway
41,Oregon,410287,0,1,98,Not Reported
41,Oregon,410296,0,1,8,"In Roadway - Other (Working, Playing, Etc.)"
41,Oregon,410303,0,1,3,Crossing Roadway
41,Oregon,410305,0,1,3,Crossing Roadway
41,Oregon,410313,0,1,3,Crossing Roadway
41,Oregon,410314,0,1,3,Crossing Roadway
41,Oregon,410317,0,1,5,Movement Along Roadway with Traffic (In or Adjacent to Travel Lane)
41,Oregon,410319,0,1,5,Movement Along Roadway with Traffic (In or Adjacent to Travel Lane)
41,Oregon,410323,0,1,3,Crossing Roadway
41,Oregon,410323,0,1,11,Entering / Exiting Parked or Stopped Vehicle
41,Oregon,410326,0,1,5,Movement Along Roadway with Traffic (In or Adjacent to Travel Lane)
41,Oregon,410327,0,1,3,Crossing Roadway
41,Oregon,410331,0,1,3,Crossing Roadway
41,Oregon,410334,0,1,3,Crossing Roadway
41,Oregon,410348,0,1,8,"In Roadway - Other (Working, Playing, Etc.)"
41,Oregon,410348,0,1,12,"Disabled Vehicle Related (Working on, Pushing, Leaving/Approaching)"
41,Oregon,410348,0,2,8,"In Roadway - Other (Working, Playing, Etc.)"
41,Oregon,410348,0,2,12,"Disabled Vehicle Related (Working on, Pushing, Leaving/Approaching)"
41,Oregon,410353,0,1,3,Crossing Roadway
41,Oregon,410363,0,1,3,Crossing Roadway
41,Oregon,410371,0,1,98,Not Reported
41,Oregon,410372,0,1,5,Movement Along Roadway with Traffic (In or Adjacent to Travel Lane)
41,Oregon,410374,0,1,3,Crossing Roadway
41,Oregon,410378,0,1,3,Crossing Roadway
41,Oregon,410379,0,1,3,Crossing Roadway
41,Oregon,410385,0,1,3,Crossing Roadway
41,Oregon,410386,0,1,8,"In Roadway - Other (Working, Playing, Etc.)"
41,Oregon,410388,0,1,5,Movement Along Roadway with Traffic (In or Adjacent to Travel Lane)
41,Oregon,410390,0,1,3,Crossing Roadway
41,Oregon,410395,0,1,12,"Disabled Vehicle Related (Working on, Pushing, Leaving/Approaching)"
41,Oregon,410397,0,1,3,Crossing Roadway
41,Oregon,410404,0,1,3,Crossing Roadway
41,Oregon,410406,0,1,6,Movement Along Roadway Against Traffic (In or Adjacent to Travel Lane)
41,Oregon,410413,0,1,5,Movement Along Roadway with Traffic (In or Adjacent to Travel Lane)
41,Oregon,410419,0,1,8,"In Roadway - Other (Working, Playing, Etc.)"
41,Oregon,410420,0,1,3,Crossing Roadway
41,Oregon,410421,0,1,3,Crossing Roadway
41,Oregon,410421,0,2,3,Crossing Roadway
41,Oregon,410422,0,1,8,"In Roadway - Other (Working, Playing, Etc.)"
41,Oregon,410425,0,1,3,Crossing Roadway
41,Oregon,410427,0,1,3,Crossing Roadway
41,Oregon,410428,0,1,3,Crossing Roadway
41,Oregon,410437,0,1,3,Crossing Roadway
