STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,NMDISTRACT,NMDISTRACTNAME
41,Oregon,410008,0,1,96,Not Reported
41,Oregon,410011,0,1,96,Not Reported
41,Oregon,410014,0,1,96,Not Reported
41,Oregon,410016,0,1,96,Not Reported
41,Oregon,410018,0,1,96,Not Reported
41,Oregon,410021,0,1,96,Not Reported
41,Oregon,410022,0,1,96,Not Reported
41,Oregon,410023,0,1,96,Not Reported
41,Oregon,410025,0,1,96,Not Reported
41,Oregon,410031,0,1,96,Not Reported
41,Oregon,410032,0,1,96,Not Reported
41,Oregon,410035,0,1,96,Not Reported
41,Oregon,410038,0,1,96,Not Reported
41,Oregon,410040,0,1,96,Not Reported
41,Oregon,410046,0,1,96,Not Reported
41,Oregon,410052,0,1,96,Not Reported
41,Oregon,410055,0,1,96,Not Reported
41,Oregon,410057,0,1,96,Not Reported
41,Oregon,410069,0,1,96,Not Reported
41,Oregon,410070,0,1,96,Not Reported
41,Oregon,410072,0,1,96,Not Reported
41,Oregon,410074,0,1,96,Not Reported
41,Oregon,410075,0,1,96,Not Reported
41,Oregon,410084,0,1,96,Not Reported
41,Oregon,410091,0,1,96,Not Reported
41,Oregon,410093,0,1,96,Not Reported
41,Oregon,410099,0,1,96,Not Reported
41,Oregon,410101,0,1,96,Not Reported
41,Oregon,410103,0,1,96,Not Reported
41,Oregon,410107,0,1,93,"Inattention (Inattentive), Details Unknown"
41,Oregon,410109,0,1,96,Not Reported
41,Oregon,410123,0,1,96,Not Reported
41,Oregon,410132,0,1,93,"Inattention (Inattentive), Details Unknown"
41,Oregon,410138,0,1,96,Not Reported
41,Oregon,410139,0,1,96,Not Reported
41,Oregon,410154,0,1,96,Not Reported
41,Oregon,410159,0,1,96,Not Reported
41,Oregon,410166,0,1,96,Not Reported
41,Oregon,410173,0,1,96,Not Reported
41,Oregon,410177,0,1,96,Not Reported
41,Oregon,410191,0,1,96,Not Reported
41,Oregon,410198,0,1,96,Not Reported
41,Oregon,410199,0,1,96,Not Reported
41,Oregon,410209,0,1,96,Not Reported
41,Oregon,410215,0,1,96,Not Reported
41,Oregon,410219,0,1,96,Not Reported
41,Oregon,410228,0,1,96,Not Reported
41,Oregon,410235,0,1,96,Not Reported
41,Oregon,410239,0,1,96,Not Reported
41,Oregon,410243,0,1,96,Not Reported
41,Oregon,410248,0,1,96,Not Reported
41,Oregon,410268,0,1,96,Not Reported
41,Oregon,410269,0,1,96,Not Reported
41,Oregon,410279,0,1,93,"Inattention (Inattentive), Details Unknown"
41,Oregon,410281,0,1,96,Not Reported
41,Oregon,410281,0,2,96,Not Reported
41,Oregon,410282,0,1,96,Not Reported
41,Oregon,410283,0,1,96,Not Reported
41,Oregon,410288,0,1,96,Not Reported
41,Oregon,410290,0,1,96,Not Reported
41,Oregon,410298,0,1,96,Not Reported
41,Oregon,410300,0,1,96,Not Reported
41,Oregon,410313,0,1,96,Not Reported
41,Oregon,410319,0,1,96,Not Reported
41,Oregon,410328,0,1,96,Not Reported
41,Oregon,410338,0,1,96,Not Reported
41,Oregon,410345,0,1,96,Not Reported
41,Oregon,410352,0,1,96,Not Reported
41,Oregon,410353,0,1,96,Not Reported
41,Oregon,410355,0,1,96,Not Reported
41,Oregon,410368,0,1,0,Not Distracted
41,Oregon,410388,0,1,96,Not Reported
41,Oregon,410390,0,1,96,Not Reported
41,Oregon,410391,0,1,96,Not Reported
41,Oregon,410392,0,1,96,Not Reported
41,Oregon,410394,0,1,96,Not Reported
41,Oregon,410398,0,1,96,Not Reported
41,Oregon,410399,0,1,96,Not Reported
41,Oregon,410401,0,1,96,Not Reported
41,Oregon,410405,0,1,93,"Inattention (Inattentive), Details Unknown"
41,Oregon,410410,0,1,96,Not Reported
41,Oregon,410417,0,1,96,Not Reported
41,Oregon,410426,0,1,96,Not Reported
41,Oregon,410427,0,1,96,Not Reported
41,Oregon,410430,0,1,96,Not Reported
41,Oregon,410432,0,1,96,Not Reported
41,Oregon,410435,0,1,96,Not Reported
41,Oregon,410449,0,1,96,Not Reported
41,Oregon,410450,0,1,96,Not Reported
41,Oregon,410452,0,1,96,Not Reported
41,Oregon,410454,0,1,93,"Inattention (Inattentive), Details Unknown"
41,Oregon,410455,0,1,96,Not Reported
41,Oregon,410458,0,1,96,Not Reported
41,Oregon,410459,0,1,96,Not Reported
41,Oregon,410461,0,1,96,Not Reported
41,Oregon,410480,0,1,96,Not Reported
41,Oregon,410486,0,1,96,Not Reported
41,Oregon,410486,0,2,96,Not Reported
41,Oregon,410488,0,1,96,Not Reported
41,Oregon,410489,0,1,96,Not Reported
41,Oregon,410493,0,1,96,Not Reported
41,Oregon,410494,0,1,96,Not Reported
41,Oregon,410497,0,1,96,Not Reported
41,Oregon,410506,0,1,96,Not Reported
41,Oregon,410513,0,1,96,Not Reported
41,Oregon,410514,0,1,96,Not Reported
41,Oregon,410515,0,1,96,Not Reported
41,Oregon,410517,0,1,96,Not Reported
41,Oregon,410523,0,1,96,Not Reported
41,Oregon,410524,0,1,96,Not Reported
41,Oregon,410525,0,1,96,Not Reported
41,Oregon,410527,0,1,96,Not Reported
