ST_CASE,PER_NO,AGE,SEXNAME,PBPTYPENAME,YEAR,MONTHNAME,DAY_WEEKNAME,HOURNAME,LGT_CONDNAME,WEATHER,RUR_URBNAME,FUNC_SYSNAME,TYP_INTNAME,REL_ROADNAME,WRK_ZONENAME,LATITUDE,LONGITUD,PEDLOCNAME,BIKELOCNAME,PEDPOSNAME,BIKEPOSNAME,PEDDIRNAME,BIKEDIRNAME,VSPD_LIM,VSPD_LIMNAME,VTRAFCON,VTRAFCONNAME,VTRAFWAY,VTRAFWAYNAME,GEOID,NAMELSAD,MEDIAN_INCOME,TOTAL_POPULATION,PCT_WHITE,PCT_BLACK,PCT_HISPANIC,PCT_TRANSIT_WALK_COMMUTE
410398,1,25,Female,Pedestrian,2017,December,Saturday,5:00am-5:59am,Dark - Not Lighted,"Fog, Smog, Smoke",Rural,Major Collector,Not an Intersection,On Roadway,None / Unknown,42.544325,-122.9252222,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,0,No Controls,1,"Two-Way, Not Divided",41029002800,Census Tract 28,75063.0,4751,79.89896863818143,0.0,9.597979372763628,0.8114856429463172
410401,1,64,Female,Pedestrian,2017,August,Friday,3:00pm-3:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.55171667,-124.0721722,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,0,No Controls,1,"Two-Way, Not Divided",41041951200,Census Tract 9512,81288.0,2258,84.10097431355182,0.0,5.181576616474756,0.3436426116838488
410404,1,28,Male,Pedestrian,2017,November,Thursday,3:00am-3:59am,Dark - Not Lighted,Not Reported,Rural,Interstate,Not an Intersection,On Roadway,None / Unknown,45.82991944,-119.7963111,Unknown / Insufficient Information,Not a Cyclist,Other/Unknown,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,0,No Controls,3,"Two-Way,  Divided, Positive  Median Barrier",41049970101,Census Tract 9701.01,54976.0,5148,33.48873348873349,0.9906759906759907,63.53923853923854,6.186069167072577
410405,1,29,Male,Pedestrian,2017,November,Friday,Unknown Hours,Unknown,Not Reported,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,45.54498333,-122.3865528,Not At Intersection,Not a Cyclist,Other/Unknown,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,0,No Controls,3,"Two-Way,  Divided, Positive  Median Barrier",41051010200,Census Tract 102,95268.0,7520,45.71808510638298,9.654255319148936,32.726063829787236,3.4812454032851186
410408,1,63,Male,Pedestrian,2017,December,Sunday,4:00pm-4:59pm,Dusk,Cloudy,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,45.00165278,-123.9868306,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,45,45 MPH,4,Flashing Traffic Control Signal,1,"Two-Way, Not Divided",41041950303,Census Tract 9503.03,60717.0,2159,72.48726262158407,0.0,11.44048170449282,1.9746121297602257
410002,1,63,Male,Pedestrian,2018,January,Tuesday,7:00am-7:59am,Dawn,"Fog, Smog, Smoke",Urban,Major Collector,Not an Intersection,On Roadway,None / Unknown,42.32195556,-122.8678667,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,1,"Two-Way, Not Divided",41029000100,Census Tract 1,36525.0,2306,51.127493495229835,0.6071118820468344,33.26105810928014,15.94090202177294
410006,1,56,Male,Pedestrian,2018,January,Friday,6:00pm-6:59pm,Dark - Lighted,Rain,Rural,Minor Arterial,Not an Intersection,On Shoulder,None / Unknown,45.27196944,-122.7690722,Not At Intersection,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",41005022800,Census Tract 228,76161.0,4069,84.54165642664046,0.0,9.166871467190955,6.367583212735166
410007,1,70,Male,Pedestrian,2018,January,Saturday,10:00am-10:59am,Daylight,Not Reported,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.54106111,-123.3508917,Not At Intersection,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,97,Not Reported,1,"Two-Way, Not Divided",41003010800,Census Tract 108,71313.0,4259,86.61657666118808,0.0,5.658605306409956,4.247572815533981
410009,1,28,Female,Pedestrian,2018,January,Monday,5:00pm-5:59pm,Dark - Not Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,43.95896111,-124.1047389,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,97,Not Reported,2,"Two-Way, Divided, Unprotected Median",41039000702,Census Tract 7.02,55227.0,2471,83.083771752327,0.0,8.943747470659652,0.700280112044818
410012,1,26,Male,Pedestrian,2018,January,Friday,0:00am-0:59am,Dark - Lighted,Rain,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,44.04059722,-123.1177667,Intersection-Related,Not a Cyclist,Travel Lane,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,30,30 MPH,3,Traffic control signal(on colors) not known whether or not Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",41039004403,Census Tract 44.03,51366.0,5164,72.44384198295894,0.17428350116189,15.453137103020914,5.773420479302832
410015,1,28,Male,Pedestrian,2018,January,Sunday,0:00am-0:59am,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.41771667,-122.4446694,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,97,Not Reported,2,"Two-Way, Divided, Unprotected Median",41005023202,Census Tract 232.02,110685.0,9132,81.44984669294789,0.17520805957074026,8.136224266316251,0.6623978803267829
410021,1,41,Male,Pedestrian,2018,January,Sunday,7:00pm-7:59pm,Dark - Not Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.39458889,-122.6154944,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,97,Not Reported,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",41005021802,Census Tract 218.02,49397.0,4506,80.89214380825565,0.37727474478473144,11.162893919218819,11.345522737927801
410022,1,25,Male,Bicyclist,2018,February,Friday,12:00pm-12:59pm,Daylight,Clear,Rural,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,42.14608889,-124.3532194,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,With Traffic,55,55 MPH,97,Not Reported,1,"Two-Way, Not Divided",41015950301,Census Tract 9503.01,68771.0,4730,84.29175475687104,0.021141649048625793,8.372093023255815,3.0938647089669638
410030,1,53,Female,Pedestrian,2018,February,Thursday,0:00am-0:59am,Dark - Unknown Lighting,Not Reported,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,45.51915,-122.5107333,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,35,35 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",41051009202,Census Tract 92.02,37417.0,5885,54.27357689039932,9.481733220050977,16.176720475785896,4.448818897637795
410034,1,78,Male,Pedestrian,2018,February,Wednesday,9:00am-9:59am,Daylight,Cloudy,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,45.52122778,-122.6894889,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,20,20 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",41051005201,Census Tract 52.01,43865.0,2218,68.8458070333634,8.836789900811542,9.107303877366997,48.950524737631184
410035,1,62,Male,Pedestrian,2018,February,Thursday,7:00pm-7:59pm,Dark - Lighted,Clear,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,44.04566944,-122.9178417,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Northbound,Not a Cyclist,45,45 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",41039001803,Census Tract 18.03,53688.0,4194,81.99809251311397,1.2160228898426324,5.197901764425369,1.2042147516307076
410043,1,54,Male,Pedestrian,2018,March,Wednesday,8:00pm-8:59pm,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.38901667,-122.6112167,Intersection-Related,Not a Cyclist,Travel Lane,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,40,40 MPH,97,Not Reported,1,"Two-Way, Not Divided",41005021700,Census Tract 217,78116.0,6080,79.73684210526316,2.861842105263158,10.328947368421053,9.583463827121829
410048,1,61,Female,Pedestrian,2018,March,Thursday,6:00am-6:59am,Dark - Lighted,Cloudy,Urban,Major Collector,T-Intersection,On Roadway,None / Unknown,45.50063889,-122.9168556,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Northbound,Not a Cyclist,35,35 MPH,20,Stop Sign,1,"Two-Way, Not Divided",41067032412,Census Tract 324.12,116331.0,4441,52.7358702994821,0.24769196126998425,27.8766043683855,7.658556043079377
410058,1,20,Male,Pedestrian,2018,March,Wednesday,9:00pm-9:59pm,Dark - Lighted,Rain,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.556825,-122.5352861,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",41051009502,Census Tract 95.02,63516.0,3471,57.56266205704408,13.48314606741573,15.471045808124458,7.7797725912627165
410059,1,36,Female,Bicyclist,2018,March,Wednesday,11:00pm-11:59pm,Dark - Not Lighted,Rain,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.04974722,-123.2008639,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Unknown,Not a Pedestrian,Unknown,55,55 MPH,97,Not Reported,1,"Two-Way, Not Divided",41039002504,Census Tract 25.04,63333.0,3383,68.54862548034289,0.325155187703222,21.312444575820276,2.9428095502498612
410065,1,42,Male,Pedestrian,2018,March,Saturday,8:00pm-8:59pm,Dark - Not Lighted,Rain,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,44.87079167,-123.0018861,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,65,65 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",41047002002,Census Tract 20.02,76750.0,5075,77.26108374384236,3.5073891625615765,11.133004926108374,5.519620526088832
410066,1,62,Female,Pedestrian,2018,March,Thursday,4:00pm-4:59pm,Daylight,Clear,Urban,Major Collector,Not an Intersection,On Roadway,None / Unknown,45.53814167,-122.9194528,Not At Intersection,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,20,Stop Sign,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",41067032612,Census Tract 326.12,148324.0,3259,79.31880945075176,0.27615833077631174,1.718318502608162,16.749792186201166
410084,1,49,Female,Pedestrian,2018,April,Tuesday,4:00am-4:59am,Dark - Not Lighted,Cloudy,Rural,Interstate,Not an Intersection,On Roadway,None / Unknown,45.76130833,-119.1933444,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,70,70 MPH,97,Not Reported,2,"Two-Way, Divided, Unprotected Median",41059951300,Census Tract 9513,64712.0,3734,55.35618639528656,0.0,38.6448848419925,2.6168224299065423
410098,1,47,Male,Pedestrian,2018,May,Friday,7:00am-7:59am,Daylight,Clear,Urban,Minor Arterial,T-Intersection,On Roadway,None / Unknown,45.49718889,-122.8083833,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Southbound,Not a Cyclist,98,Not Reported,2,Traffic control signal (on colors) with Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",41067031402,Census Tract 314.02,73897.0,2887,50.710079667474886,3.567717353654312,30.65465881537929,20.876149269875608
410101,1,37,Male,Pedestrian,2018,May,Monday,3:00am-3:59am,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.37104722,-122.5856639,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",41005022301,Census Tract 223.01,76605.0,4469,87.44685611993734,0.11188185276348177,3.132691877377489,2.1972406745017885
410115,1,43,Male,Pedestrian,2018,April,Tuesday,8:00pm-8:59pm,Dark - Not Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.00284722,-123.9855667,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,97,Not Reported,1,"Two-Way, Not Divided",41041950304,Census Tract 9503.04,51818.0,3389,83.85954558866922,0.29507229271171437,10.298023015638831,5.823148813803019
410144,1,32,Male,Bicyclist,2018,June,Wednesday,7:00pm-7:59pm,Daylight,Rain,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.55384722,-123.2649556,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Sidewalk  / Crosswalk / Driveway Access,Not a Pedestrian,With Traffic,25,25 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",41003000101,Census Tract 1.01,60409.0,3997,86.1646234676007,0.7755816862646986,8.006004503377532,5.263157894736842
410158,1,53,Female,Bicyclist,2018,July,Thursday,7:00am-7:59am,Daylight,Clear,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,44.92792222,-122.9985778,Not a Pedestrian,At Intersection,Not a Pedestrian,Sidewalk  / Crosswalk / Driveway Access,Not a Pedestrian,With Traffic,45,45 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",41047000702,Census Tract 7.02,42776.0,5456,61.18035190615836,3.262463343108504,24.596774193548388,13.592233009708737
410159,1,44,Male,Pedestrian,2018,July,Thursday,11:00am-11:59am,Daylight,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.93942778,-123.0422139,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,4,One-Way Trafficway,41047000200,Census Tract 2,51630.0,4225,65.37278106508876,0.5680473372781065,16.023668639053255,26.73956262425447
410167,1,32,Male,Person on Personal Conveyances,2018,July,Wednesday,1:00am-1:59am,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.42056667,-122.7853639,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,1,"Two-Way, Not Divided",41067030801,Census Tract 308.01,85950.0,6622,72.3044397463002,1.7668378133494411,12.745394140742977,10.353154240869303
410172,1,92,Male,Pedestrian,2018,August,Thursday,2:00pm-2:59pm,Daylight,Clear,Rural,Major Collector,Not an Intersection,On Roadway,None / Unknown,44.84690833,-122.8777139,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,1,"Two-Way, Not Divided",41047010801,Census Tract 108.01,108102.0,6539,84.43187031656217,0.0,7.921700565835755,0.48828125
410197,1,31,Male,Pedestrian,2018,September,Friday,5:00am-5:59am,Dawn,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.85122778,-123.2159917,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,30,30 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",41053020304,Census Tract 203.04,60242.0,7471,74.95649846071476,0.6290991835095704,16.048721723999464,7.397737162750218
410206,1,75,Female,Pedestrian,2018,June,Wednesday,10:00am-10:59am,Daylight,Clear,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,42.43407222,-123.1700417,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,25,25 MPH,0,No Controls,1,"Two-Way, Not Divided",41029002901,Census Tract 29.01,50213.0,3128,85.48593350383632,0.0,7.4808184143222505,0.0
410218,1,60,Male,Pedestrian,2018,September,Tuesday,3:00pm-3:59pm,Daylight,Cloudy,Urban,Major Collector,Four-Way Intersection,On Roadway,None / Unknown,44.05611111,-123.0024028,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Westbound,Not a Cyclist,35,35 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",41039003301,Census Tract 33.01,65913.0,3165,62.78041074249605,0.1579778830963665,17.44075829383886,5.10688836104513
410219,1,62,Female,Pedestrian,2018,September,Tuesday,9:00am-9:59am,Daylight,Rain,Urban,Major Collector,Four-Way Intersection,On Roadway,None / Unknown,45.15123611,-122.5762833,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,25,25 MPH,97,Not Reported,1,"Two-Way, Not Divided",41005023902,Census Tract 239.02,76250.0,6068,81.60843770599868,0.0,13.529993408042188,3.9546191247974067
410231,1,59,Male,Pedestrian,2018,October,Friday,5:00pm-5:59pm,Daylight,Clear,Urban,Interstate,Not an Intersection,On Roadside,None / Unknown,44.80332778,-117.8112861,Not At Intersection,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",41001950500,Census Tract 9505,56977.0,2661,80.87185268695978,0.4509582863585118,12.326193160465989,10.05524861878453
410237,1,44,Female,Pedestrian,2018,October,Wednesday,Unknown Hours,Dark - Not Lighted,Cloudy,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,45.50411111,-122.5210278,Intersection-Related,Not a Cyclist,Other/Unknown,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",41051009203,Census Tract 92.03,46026.0,3081,58.81207400194742,4.414151249594288,21.648815319701395,0.7119741100323626
410239,1,50,Male,Bicyclist,2018,May,Tuesday,8:00am-8:59am,Daylight,Not Reported,Urban,Major Collector,Not an Intersection,On Roadway,None / Unknown,45.53918611,-122.7084667,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,Not applicable,30,30 MPH,97,Not Reported,8,Not Reported,41051004300,Census Tract 43,109375.0,1027,86.6601752677702,0.3894839337877313,9.444985394352482,2.6737967914438503
410247,1,67,Male,Bicyclist,2018,August,Thursday,5:00am-5:59am,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadside,None / Unknown,45.85406944,-122.8261528,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Bicycle Lane / Paved Shoulder / Parking Lane,Not a Pedestrian,With Traffic,35,35 MPH,0,No Controls,1,"Two-Way, Not Divided",41009970800,Census Tract 9708,78730.0,8135,78.19299323909034,0.19668100799016594,14.701905347264905,2.054253357914143
410256,1,28,Male,Bicyclist,2018,October,Monday,9:00pm-9:59pm,Dark - Unknown Lighting,Not Reported,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.519975,-123.0176222,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,With Traffic,98,Not Reported,97,Not Reported,1,"Two-Way, Not Divided",41067032901,Census Tract 329.01,91136.0,6727,44.9531737773153,1.010851791288836,46.70729894455181,6.9700827498408655
410260,1,38,Male,Pedestrian,2018,October,Tuesday,8:00pm-8:59pm,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,42.39664722,-122.9288639,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,60,60 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",41029001002,Census Tract 10.02,73157.0,4674,73.0423620025674,0.47068891741548996,20.817287120239627,2.126821583300512
410263,1,27,Female,Pedestrian,2018,November,Tuesday,8:00pm-8:59pm,Dark - Lighted,Clear,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.56193611,-122.5220528,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,97,Not Reported,1,"Two-Way, Not Divided",41051007300,Census Tract 73,40893.0,1362,56.093979441997064,10.719530102790015,14.170337738619676,22.18045112781955
410274,1,72,Male,Pedestrian,2018,November,Saturday,3:00pm-3:59pm,Daylight,Cloudy,Rural,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,46.09925833,-123.0643528,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,97,Not Reported,1,"Two-Way, Not Divided",41009970201,Census Tract 9702.01,63281.0,3344,84.688995215311,0.17942583732057416,2.511961722488038,3.571428571428571
410275,1,31,Male,Pedestrian,2018,November,Sunday,6:00am-6:59am,Dark - Not Lighted,"Fog, Smog, Smoke",Rural,Major Collector,Not an Intersection,On Roadway,None / Unknown,43.75633611,-123.0669583,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,1,"Two-Way, Not Divided",41039001400,Census Tract 14,73773.0,2514,89.22036595067621,0.0,9.029435163086715,2.0518358531317493
410279,1,77,Male,Pedestrian,2018,November,Friday,10:00pm-10:59pm,Dark - Lighted,Rain,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.48653333,-122.7971694,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,30,30 MPH,0,No Controls,1,"Two-Way, Not Divided",41067030401,Census Tract 304.01,68513.0,4449,62.665767588222074,2.3376039559451565,17.015059563946956,2.3902439024390243
410280,1,55,Male,Pedestrian,2018,November,Friday,12:00pm-12:59pm,Daylight,Cloudy,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,44.98966667,-123.026625,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,35,35 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",41047001402,Census Tract 14.02,76266.0,5888,74.52445652173914,0.8491847826086956,12.85665760869565,2.132435465768799
410281,1,49,Female,Pedestrian,2018,August,Tuesday,8:00pm-8:59pm,Dark - Lighted,Clear,Rural,Principal Arterial - Other,Not an Intersection,On Roadway,Construction,45.80143611,-118.5138694,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,50,Person,1,"Two-Way, Not Divided",41059950300,Census Tract 9503,70594.0,3263,90.43824701195219,0.4596996628869139,3.7388905914802333,3.129548762736536
410282,1,93,Female,Pedestrian,2018,August,Tuesday,9:00am-9:59am,Daylight,Clear,Urban,Local,Not an Intersection,On Roadway,None / Unknown,44.78174167,-117.835475,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,25,25 MPH,0,No Controls,1,"Two-Way, Not Divided",41001950500,Census Tract 9505,56977.0,2661,80.87185268695978,0.4509582863585118,12.326193160465989,10.05524861878453
410283,1,27,Male,Pedestrian,2018,September,Sunday,11:00pm-11:59pm,Dark - Not Lighted,Cloudy,Urban,Minor Arterial,T-Intersection,On Roadway,None / Unknown,45.492825,-122.7826639,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Southbound,Not a Cyclist,35,35 MPH,0,No Controls,1,"Two-Way, Not Divided",41067031301,Census Tract 313.01,75000.0,2792,70.84527220630372,3.9398280802292263,15.04297994269341,7.10868079289132
410284,1,82,Male,Pedestrian,2018,September,Sunday,7:00pm-7:59pm,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,44.56111667,-122.9125833,At Intersection,Not a Cyclist,Intersection Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,40,40 MPH,97,Not Reported,1,"Two-Way, Not Divided",41043030802,Census Tract 308.02,53072.0,4034,92.31531978185424,0.0,3.7927615270203274,6.242274412855377
410286,1,53,Female,Pedestrian,2018,November,Wednesday,8:00pm-8:59pm,Dark - Not Lighted,Clear,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,42.35186944,-122.8975889,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,97,Not Reported,1,"Two-Way, Not Divided",41029000300,Census Tract 3,52060.0,6161,63.49618568414218,0.0,23.37282908618731,0.631019594818997
410303,1,92,Male,Pedestrian,2018,December,Tuesday,4:00pm-4:59pm,Dark - Lighted,Rain,Urban,Major Collector,Not an Intersection,On Roadway,None / Unknown,45.53498056,-122.9119694,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,0,No Controls,1,"Two-Way, Not Divided",41067032612,Census Tract 326.12,148324.0,3259,79.31880945075176,0.27615833077631174,1.718318502608162,16.749792186201166
410307,1,28,Male,Pedestrian,2018,September,Saturday,6:00pm-6:59pm,Daylight,Clear,Rural,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.70118611,-122.0767028,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,97,Not Reported,1,"Two-Way, Not Divided",41047010600,Census Tract 106,50729.0,2139,86.67601683029453,1.1220196353436185,3.0388031790556336,4.49438202247191
410313,1,79,Female,Pedestrian,2018,December,Monday,5:00pm-5:59pm,Dark - Not Lighted,Cloudy,Rural,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.56393611,-123.9361417,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,97,Not Reported,1,"Two-Way, Not Divided",41057960200,Census Tract 9602,54375.0,2816,91.76136363636364,0.5681818181818182,4.154829545454546,8.110599078341014
410316,1,69,Male,Pedestrian,2018,July,Monday,9:00pm-9:59pm,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.50448056,-122.4989722,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",41051009101,Census Tract 91.01,59167.0,6261,52.61140392908481,7.538731831975723,19.05446414310813,6.99121522693997
410318,1,26,Male,Pedestrian,2018,December,Thursday,6:00am-6:59am,Dark - Lighted,"Fog, Smog, Smoke",Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,42.37800278,-122.903225,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,65,65 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",41029001100,Census Tract 11,78326.0,5524,87.25561187545256,0.25343953656770457,5.684286748732802,1.5270326042096576
