ST_CASE,PER_NO,AGE,SEXNAME,PBPTYPENAME,YEAR,MONTHNAME,DAY_WEEKNAME,HOURNAME,LGT_CONDNAME,WEATHER,RUR_URBNAME,FUNC_SYSNAME,TYP_INTNAME,REL_ROADNAME,WRK_ZONENAME,LATITUDE,LONGITUD,PEDLOCNAME,BIKELOCNAME,PEDPOSNAME,BIKEPOSNAME,PEDDIRNAME,BIKEDIRNAME,VSPD_LIM,VSPD_LIMNAME,VTRAFCON,VTRAFCONNAME,VTRAFWAY,VTRAFWAYNAME,SPATIAL_CLUSTER
410014,1,43,Male,Pedestrian,2017,January,Tuesday,6:00pm-6:59pm,Dark - Not Lighted,Rain,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,45.41639444,-122.7894778,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,40,40 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410017,1,15,Male,Pedestrian,2017,January,Thursday,10:00pm-10:59pm,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,46.04942222,-123.9140361,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410021,1,57,Female,Pedestrian,2017,February,Friday,8:00pm-8:59pm,Dark - Not Lighted,Rain,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,43.14336667,-123.3856917,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,50,50 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410024,1,53,Male,Bicyclist,2017,February,Monday,9:00am-9:59am,Daylight,Rain,Urban,Minor Arterial,T-Intersection,On Roadway,None / Unknown,45.57931389,-122.6819722,Not a Pedestrian,At Intersection,Not a Pedestrian,Bicycle Lane / Paved Shoulder / Parking Lane,Not a Pedestrian,With Traffic,98,Not Reported,0,No Controls,1,"Two-Way, Not Divided",-1
410026,1,50,Male,Pedestrian,2017,February,Monday,9:00pm-9:59pm,Dark - Not Lighted,Cloudy,Urban,Principal Arterial - Other Freeways and Expressways,Not an Intersection,On Roadway,None / Unknown,45.52587222,-122.825575,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410027,1,79,Female,Pedestrian,2017,February,Thursday,6:00pm-6:59pm,Dark - Not Lighted,Rain,Urban,Major Collector,Not an Intersection,On Roadway,None / Unknown,45.16239167,-122.5738972,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410034,1,39,Male,Pedestrian,2017,January,Monday,12:00pm-12:59pm,Daylight,Cloudy,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,45.33195833,-122.5750667,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Westbound,Not a Cyclist,55,55 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410035,1,26,Male,Pedestrian,2017,January,Saturday,4:00am-4:59am,Dark - Not Lighted,Rain,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,45.37358889,-122.7260083,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410038,1,50,Male,Pedestrian,2017,March,Wednesday,9:00am-9:59am,Daylight,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Shoulder,None / Unknown,44.05269444,-123.3195694,Not At Intersection,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410039,1,24,Male,Pedestrian,2017,March,Friday,3:00am-3:59am,Dark - Not Lighted,Cloudy,Urban,Major Collector,Not an Intersection,On Roadway,None / Unknown,43.78296111,-123.0694444,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410042,1,33,Female,Pedestrian,2017,March,Sunday,0:00am-0:59am,Dark - Lighted,Rain,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,45.50451944,-122.4699111,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,98,Not Reported,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410047,1,15,Male,Pedestrian,2017,March,Friday,6:00am-6:59am,Daylight,Clear,Urban,Minor Arterial,Four-Way Intersection,On Roadside,None / Unknown,42.4224,-123.3613278,Intersection-Related,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,35,35 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410051,1,37,Male,Pedestrian,2017,March,Thursday,11:00pm-11:59pm,Dark - Not Lighted,Cloudy,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.51915833,-122.5105,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410053,1,22,Male,Pedestrian,2017,March,Saturday,10:00pm-10:59pm,Dark - Lighted,Clear,Urban,Minor Arterial,Not an Intersection,On Shoulder,None / Unknown,45.52018056,-123.0854556,Not At Intersection,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410057,1,55,Male,Bicyclist,2017,April,Monday,8:00pm-8:59pm,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,45.84958611,-119.2901694,Not a Pedestrian,At Intersection,Not a Pedestrian,Sidewalk  / Crosswalk / Driveway Access,Not a Pedestrian,With Traffic,25,25 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410061,1,44,Male,Pedestrian,2017,March,Tuesday,6:00am-6:59am,Dark - Not Lighted,Cloudy,Rural,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.8864,-123.6136722,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410076,1,48,Male,Pedestrian,2017,January,Tuesday,1:00pm-1:59pm,Daylight,Cloudy,Rural,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.01910833,-123.9115778,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410083,1,38,Female,Pedestrian,2017,April,Wednesday,0:00am-0:59am,Dark - Lighted,Clear,Rural,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.56406944,-123.2079917,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410086,1,45,Male,Pedestrian,2017,May,Friday,4:00am-4:59am,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.46811667,-122.5790694,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",3
410093,1,35,Male,Pedestrian,2017,April,Wednesday,4:00am-4:59am,Dark - Lighted,Rain,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,45.4798,-122.5686194,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,35,35 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410095,1,30,Female,Pedestrian,2017,April,Sunday,9:00pm-9:59pm,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.56265,-122.5855417,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410103,1,49,Male,Person on Personal Conveyances,2017,May,Friday,4:00pm-4:59pm,Daylight,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.59122222,-122.6668444,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410107,1,49,Female,Pedestrian,2017,May,Sunday,10:00pm-10:59pm,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.42603611,-122.7795806,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410115,1,62,Female,Pedestrian,2017,January,Tuesday,1:00pm-1:59pm,Daylight,Rain,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,43.41185,-124.224025,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Eastbound,Not a Cyclist,98,Not Reported,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410115,2,56,Female,Pedestrian,2017,January,Tuesday,1:00pm-1:59pm,Daylight,Rain,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,43.41185,-124.224025,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Eastbound,Not a Cyclist,98,Not Reported,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410118,1,48,Male,Pedestrian,2017,May,Tuesday,12:00pm-12:59pm,Daylight,Clear,Urban,Minor Arterial,T-Intersection,On Roadway,Construction,45.43465,-122.5381361,At Intersection,Not a Cyclist,Intersection Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,98,Not Reported,50,Person,1,"Two-Way, Not Divided",6
410118,2,26,Male,Pedestrian,2017,May,Tuesday,12:00pm-12:59pm,Daylight,Clear,Urban,Minor Arterial,T-Intersection,On Roadway,Construction,45.43465,-122.5381361,At Intersection,Not a Cyclist,Intersection Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,98,Not Reported,50,Person,1,"Two-Way, Not Divided",6
410118,3,61,Male,Pedestrian,2017,May,Tuesday,12:00pm-12:59pm,Daylight,Clear,Urban,Minor Arterial,T-Intersection,On Roadway,Construction,45.43465,-122.5381361,At Intersection,Not a Cyclist,Intersection Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,98,Not Reported,50,Person,1,"Two-Way, Not Divided",6
410125,1,54,Female,Pedestrian,2017,June,Friday,12:00pm-12:59pm,Daylight,Clear,Urban,Major Collector,Not an Intersection,On Shoulder,None / Unknown,45.423375,-122.7516917,Not At Intersection,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not a Cyclist,Not Applicable,Not a Cyclist,25,25 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410133,1,72,Female,Pedestrian,2017,March,Friday,10:00am-10:59am,Daylight,Cloudy,Urban,Major Collector,Not an Intersection,On Roadside,None / Unknown,44.95877778,-122.9886833,Not At Intersection,Not a Cyclist,Unpaved Right-of-Way,Not a Cyclist,Not Applicable,Not a Cyclist,25,25 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410138,1,54,Male,Pedestrian,2017,June,Thursday,10:00pm-10:59pm,Dark - Not Lighted,Clear,Urban,Major Collector,Not an Intersection,On Roadway,None / Unknown,42.39487778,-122.8557139,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410147,1,26,Female,Pedestrian,2017,June,Thursday,3:00pm-3:59pm,Daylight,Clear,Urban,Local,Four-Way Intersection,On Roadway,None / Unknown,45.520275,-122.5814694,At Intersection,Not a Cyclist,Other/Unknown,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,98,Not Reported,0,No Controls,1,"Two-Way, Not Divided",-1
410160,1,25,Male,Pedestrian,2017,June,Thursday,1:00am-1:59am,Dark - Lighted,Clear,Urban,Local,Not an Intersection,On Roadway,None / Unknown,42.37805278,-122.8997944,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,25,25 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410168,1,23,Male,Pedestrian,2017,July,Monday,10:00pm-10:59pm,Dark - Not Lighted,Clear,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.5013,-122.5376583,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",7
410176,1,32,Male,Pedestrian,2017,July,Tuesday,3:00am-3:59am,Dark - Not Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,46.01623889,-123.91135,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,0,No Controls,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410196,1,51,Male,Pedestrian,2017,July,Friday,0:00am-0:59am,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.49748611,-122.6110972,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,0,No Controls,2,"Two-Way, Divided, Unprotected Median",-1
410205,1,23,Male,Pedestrian,2017,July,Monday,2:00am-2:59am,Dark - Not Lighted,Clear,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,45.44995833,-122.5716306,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410207,1,24,Male,Pedestrian,2017,July,Saturday,5:00pm-5:59pm,Daylight,Clear,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.48664444,-122.53785,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410211,1,6,Male,Pedestrian,2017,July,Monday,9:00pm-9:59pm,Dusk,Clear,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,44.59990556,-123.0621556,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410213,1,36,Male,Pedestrian,2017,July,Sunday,6:00pm-6:59pm,Daylight,Clear,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.39634722,-122.7986861,Not At Intersection,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,0,No Controls,2,"Two-Way, Divided, Unprotected Median",-1
410223,1,53,Male,Bicyclist,2017,August,Sunday,9:00pm-9:59pm,Dark - Lighted,Clear,Rural,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,43.74666944,-122.4850833,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,Not applicable,35,35 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410226,1,14,Female,Pedestrian,2017,July,Monday,5:00pm-5:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.88745833,-123.0332472,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410232,1,41,Female,Bicyclist,2017,August,Monday,1:00am-1:59am,Dark - Lighted,Clear,Urban,Major Collector,Four-Way Intersection,On Roadway,None / Unknown,45.51510833,-122.6658278,Not a Pedestrian,At Intersection,Not a Pedestrian,Bicycle Lane / Paved Shoulder / Parking Lane,Not a Pedestrian,With Traffic,98,Not Reported,0,No Controls,1,"Two-Way, Not Divided",-1
410246,1,34,Male,Pedestrian,2017,September,Tuesday,2:00pm-2:59pm,Daylight,"Fog, Smog, Smoke",Urban,Minor Arterial,Not an Intersection,On Roadside,None / Unknown,45.84633889,-122.820875,Not At Intersection,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410252,1,67,Male,Pedestrian,2017,October,Saturday,2:00am-2:59am,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,45.53398056,-122.5790417,At Intersection,Not a Cyclist,Other/Unknown,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410255,1,60,Male,Pedestrian,2017,October,Thursday,7:00pm-7:59pm,Dark - Not Lighted,Rain,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,44.58892778,-123.2485778,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410265,1,61,Male,Pedestrian,2017,October,Sunday,3:00pm-3:59pm,Daylight,Cloudy,Rural,Principal Arterial - Other,Not an Intersection,On Roadside,None / Unknown,42.99903333,-123.7175306,Not At Intersection,Not a Cyclist,Other/Unknown,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410269,1,57,Male,Pedestrian,2017,October,Wednesday,6:00am-6:59am,Dark - Not Lighted,"Fog, Smog, Smoke",Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,44.92705833,-123.0038472,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410271,1,55,Male,Pedestrian,2017,October,Friday,7:00pm-7:59pm,Dark - Lighted,Clear,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,45.56550833,-122.6613944,At Intersection,Not a Cyclist,Intersection Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,30,30 MPH,0,No Controls,2,"Two-Way, Divided, Unprotected Median",-1
410276,1,13,Female,Pedestrian,2017,October,Monday,7:00am-7:59am,Daylight,Not Reported,Rural,Major Collector,Not an Intersection,Off Roadway-Location Unknown,None / Unknown,42.499025,-123.16805,Not At Intersection,Not a Cyclist,Other/Unknown,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,0,No Controls,1,"Two-Way, Not Divided",-1
410278,1,67,Male,Bicyclist,2017,October,Thursday,4:00pm-4:59pm,Daylight,Clear,Urban,Minor Arterial,Y-Intersection,On Roadway,None / Unknown,45.36216944,-122.5992611,Not a Pedestrian,At Intersection,Not a Pedestrian,Bicycle Lane / Paved Shoulder / Parking Lane,Not a Pedestrian,With Traffic,25,25 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410284,1,27,Male,Pedestrian,2017,November,Saturday,7:00pm-7:59pm,Dark - Lighted,Rain,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,45.39797222,-122.7988889,Intersection-Related,Not a Cyclist,Travel Lane,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,45,45 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410286,1,25,Female,Pedestrian,2017,November,Wednesday,1:00am-1:59am,Dark - Lighted,Cloudy,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,45.55463611,-122.678675,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410287,1,24,Male,Pedestrian,2017,November,Sunday,9:00pm-9:59pm,Dark - Lighted,Cloudy,Urban,Major Collector,Not an Intersection,On Roadway,None / Unknown,45.59372778,-122.7354611,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410288,1,79,Male,Bicyclist,2017,November,Saturday,3:00pm-3:59pm,Daylight,Rain,Urban,Local,Four-Way Intersection,On Roadway,None / Unknown,44.92563611,-122.978075,Not a Pedestrian,At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,Unknown,25,25 MPH,20,Stop Sign,1,"Two-Way, Not Divided",-1
410293,1,40,Male,Pedestrian,2017,November,Sunday,7:00pm-7:59pm,Dark - Lighted,Rain,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.51912778,-122.5136278,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,0,No Controls,1,"Two-Way, Not Divided",8
410294,1,14,Male,Person on Personal Conveyances,2017,November,Tuesday,6:00pm-6:59pm,Dark - Not Lighted,Clear,Urban,Local,T-Intersection,On Roadway,None / Unknown,42.40586389,-123.3716833,At Intersection,Not a Cyclist,Intersection Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,40,40 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410296,1,83,Male,Pedestrian,2017,November,Friday,4:00pm-4:59pm,Dark - Lighted,Rain,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,45.29686667,-122.7977139,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,35,35 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410299,1,31,Male,Bicyclist,2017,November,Monday,11:00am-11:59am,Daylight,Rain,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,44.06414444,-121.3088944,Not a Pedestrian,At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,With Traffic,98,Not Reported,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410304,1,69,Male,Pedestrian,2017,November,Friday,5:00pm-5:59pm,Dusk,Cloudy,Rural,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,44.17446667,-121.3238972,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410305,1,63,Female,Pedestrian,2017,November,Thursday,6:00pm-6:59pm,Dark - Lighted,Clear,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.45165833,-122.8054056,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410311,1,13,Male,Bicyclist,2017,December,Wednesday,6:00pm-6:59pm,Dark - Not Lighted,Clear,Rural,Major Collector,Not an Intersection,On Roadway,None / Unknown,43.85240833,-123.0403139,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,Not applicable,55,55 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410326,1,38,Female,Bicyclist,2017,December,Saturday,3:00pm-3:59pm,Daylight,Clear,Rural,Minor Collector,Not an Intersection,On Roadway,None / Unknown,44.032325,-121.0669194,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,With Traffic,55,55 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410331,1,62,Female,Pedestrian,2017,December,Sunday,4:00pm-4:59pm,Dusk,Cloudy,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,42.42339167,-123.3199361,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Eastbound,Not a Cyclist,30,30 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410343,1,61,Male,Pedestrian,2017,September,Monday,6:00am-6:59am,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,45.58466389,-122.6826167,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Northbound,Not a Cyclist,98,Not Reported,2,Traffic control signal (on colors) with Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",9
410351,1,37,Male,Pedestrian,2017,September,Friday,9:00pm-9:59pm,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.49743333,-122.9016194,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410353,1,87,Male,Pedestrian,2017,September,Saturday,6:00am-6:59am,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,45.52438611,-122.6617611,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,30,30 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,4,One-Way Trafficway,-1
410356,1,38,Male,Pedestrian,2017,September,Saturday,9:00pm-9:59pm,Dark - Lighted,Rain,Urban,Principal Arterial - Other,Not an Intersection,On Roadside,None / Unknown,45.99229444,-123.9210139,Not At Intersection,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410356,2,41,Male,Pedestrian,2017,September,Saturday,9:00pm-9:59pm,Dark - Lighted,Rain,Urban,Principal Arterial - Other,Not an Intersection,On Roadside,None / Unknown,45.99229444,-123.9210139,Not At Intersection,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410357,1,39,Female,Pedestrian,2017,April,Tuesday,9:00pm-9:59pm,Dark - Not Lighted,Cloudy,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,44.05200278,-121.302525,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,98,Not Reported,0,No Controls,1,"Two-Way, Not Divided",-1
