ST_CASE,PER_NO,AGE,SEXNAME,PBPTYPENAME,YEAR,MONTHNAME,DAY_WEEKNAME,HOURNAME,LGT_CONDNAME,WEATHER,RUR_URBNAME,FUNC_SYSNAME,TYP_INTNAME,REL_ROADNAME,WRK_ZONENAME,LATITUDE,LONGITUD,PEDLOCNAME,BIKELOCNAME,PEDPOSNAME,BIKEPOSNAME,PEDDIRNAME,BIKEDIRNAME,VSPD_LIM,VSPD_LIMNAME,VTRAFCON,VTRAFCONNAME,VTRAFWAY,VTRAFWAYNAME,SPATIAL_CLUSTER
410030,1,90,Female,Pedestrian,2015,February,Monday,3:00pm-3:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,45.43403056,-122.7649083,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Southbound,Not a Cyclist,98,Not Reported,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410032,1,60,Male,Bicyclist,2015,February,Tuesday,5:00pm-5:59pm,Dusk,Clear,Urban,Minor Arterial,Not an Intersection,On Roadside,None / Unknown,44.61743333,-123.1314944,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Bicycle Lane / Paved Shoulder / Parking Lane,Not a Pedestrian,With Traffic,40,40 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410040,1,33,Female,Pedestrian,2015,February,Saturday,7:00pm-7:59pm,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.499625,-122.9228444,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410041,1,26,Female,Pedestrian,2015,February,Sunday,4:00pm-4:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,44.0457,-122.9347111,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Southbound,Not a Cyclist,40,40 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",0
410041,2,4,Male,Pedestrian,2015,February,Sunday,4:00pm-4:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,44.0457,-122.9347111,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Southbound,Not a Cyclist,40,40 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",0
410041,3,5,Female,Pedestrian,2015,February,Sunday,4:00pm-4:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,44.0457,-122.9347111,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Southbound,Not a Cyclist,40,40 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",0
410041,4,8,Male,Pedestrian,2015,February,Sunday,4:00pm-4:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,44.0457,-122.9347111,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Southbound,Not a Cyclist,40,40 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",0
410042,1,43,Male,Pedestrian,2015,February,Tuesday,8:00pm-8:59pm,Dark - Not Lighted,Not Reported,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,42.42476944,-123.2799917,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410044,1,58,Male,Pedestrian,2015,February,Wednesday,6:00pm-6:59pm,Dark - Not Lighted,Rain,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,46.00975,-123.9131944,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410049,1,51,Male,Pedestrian,2015,March,Sunday,1:00am-1:59am,Dark - Unknown Lighting,Not Reported,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.49743333,-122.9017611,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410051,1,35,Female,Pedestrian,2015,March,Saturday,11:00pm-11:59pm,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,43.21328056,-123.3037278,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410054,1,61,Male,Persons on Personal Conveyances,2015,March,Wednesday,10:00am-10:59am,Daylight,Rain,Urban,Minor Arterial,T-Intersection,On Roadway,None / Unknown,45.52388056,-122.6702778,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Eastbound,Not a Cyclist,30,30 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410055,1,69,Female,Pedestrian,2015,January,Tuesday,7:00pm-7:59pm,Dark - Lighted,"Fog, Smog, Smoke",Rural,Major Collector,Not an Intersection,On Roadway,None / Unknown,42.69519722,-123.3953139,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410060,1,18,Male,Pedestrian,2015,March,Thursday,11:00pm-11:59pm,Dark - Not Lighted,Clear,Rural,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,43.11133889,-123.5157333,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410063,1,42,Male,Pedestrian,2015,March,Tuesday,8:00pm-8:59pm,Dark - Not Lighted,Cloudy,Urban,Interstate,Not an Intersection,On Shoulder,None / Unknown,43.81113333,-123.039925,Not At Intersection,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not a Cyclist,Not Applicable,Not a Cyclist,65,65 MPH,0,No Controls,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410065,1,51,Male,Pedestrian,2015,January,Friday,7:00pm-7:59pm,Dark - Lighted,Cloudy,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,42.19764722,-121.7571361,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410067,1,54,Male,Pedestrian,2015,January,Monday,5:00pm-5:59pm,Dark - Lighted,"Fog, Smog, Smoke",Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.42752778,-122.634225,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",4
410079,1,29,Male,Pedestrian,2015,April,Saturday,0:00am-0:59am,Dark - Not Lighted,"Fog, Smog, Smoke",Urban,Major Collector,Not an Intersection,On Roadway,None / Unknown,44.65921667,-123.0596528,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,0,No Controls,1,"Two-Way, Not Divided",-1
410080,1,44,Female,Pedestrian,2015,April,Sunday,11:00pm-11:59pm,Dark - Not Lighted,Cloudy,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.50048333,-122.8030889,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410082,1,65,Male,Pedestrian,2015,April,Tuesday,10:00am-10:59am,Daylight,Rain,Trafficway Not in State Inventory,Trafficway Not in State Inventory,Not an Intersection,Outside Trafficway,None / Unknown,42.36530556,-122.8586806,Non-Trafficway Location,Not a Cyclist,Non-Trafficway - Parking Lot/Other,Not a Cyclist,Not Applicable,Not a Cyclist,0,No Statutory Limit/Non-Trafficway or Driveway Access,0,No Controls,0,Non-Trafficway or Driveway Access,-1
410101,1,14,Male,Persons on Personal Conveyances,2015,April,Tuesday,8:00pm-8:59pm,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,42.35855833,-122.9040611,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,50,50 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410106,1,49,Female,Pedestrian,2015,April,Saturday,8:00pm-8:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.49173333,-122.4817444,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410109,1,64,Male,Pedestrian,2015,April,Sunday,9:00pm-9:59pm,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,42.23937222,-122.7733444,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410125,1,36,Male,Pedestrian,2015,May,Saturday,0:00am-0:59am,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadside,None / Unknown,44.9735,-123.0200306,Not At Intersection,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410126,1,60,Male,Pedestrian,2015,May,Sunday,4:00am-4:59am,Dark - Not Lighted,"Fog, Smog, Smoke",Rural,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,43.59740833,-121.5634833,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410129,1,55,Male,Pedestrian,2015,June,Tuesday,0:00am-0:59am,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other Freeways and Expressways,Not an Intersection,On Roadway,Construction,44.91694444,-122.9931389,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,50,50 MPH,28,Other Regulatory Sign,1,"Two-Way, Not Divided",-1
410130,1,55,Male,Pedestrian,2015,June,Wednesday,5:00pm-5:59pm,Daylight,Cloudy,Urban,Major Collector,Four-Way Intersection,On Roadway,None / Unknown,45.532325,-122.6021778,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Eastbound,Not a Cyclist,35,35 MPH,20,Stop Sign,1,"Two-Way, Not Divided",-1
410137,1,45,Male,Pedestrian,2015,June,Tuesday,1:00pm-1:59pm,Daylight,Clear,Rural,Local,Not an Intersection,On Roadway,None / Unknown,43.98372778,-122.9910639,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,0,No Controls,1,"Two-Way, Not Divided",-1
410143,1,22,Male,Bicyclist,2015,May,Wednesday,12:00pm-12:59pm,Daylight,Clear,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,45.49332778,-122.62265,Not a Pedestrian,At Intersection,Not a Pedestrian,Bicycle Lane / Paved Shoulder / Parking Lane,Not a Pedestrian,With Traffic,25,25 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410152,1,36,Male,Pedestrian,2015,June,Sunday,2:00pm-2:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadside,None / Unknown,45.52304722,-122.6675972,Not At Intersection,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410152,2,35,Female,Pedestrian,2015,June,Sunday,2:00pm-2:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadside,None / Unknown,45.52304722,-122.6675972,Not At Intersection,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410156,1,60,Female,Persons on Personal Conveyances,2015,June,Thursday,11:00pm-11:59pm,Dark - Not Lighted,Clear,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,44.12270278,-123.0480306,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,65,65 MPH,0,No Controls,3,"Two-Way,  Divided, Positive  Median Barrier",-1
410160,1,37,Male,Bicyclist,2015,June,Saturday,10:00am-10:59am,Daylight,Clear,Rural,Local,Not an Intersection,On Roadway,None / Unknown,45.53203611,-122.2040889,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,With Traffic,98,Not Reported,0,No Controls,1,"Two-Way, Not Divided",-1
410167,1,77,Male,Pedestrian,2015,January,Thursday,5:00am-5:59am,Dark - Lighted,Clear,Urban,Minor Arterial,T-Intersection,On Roadway,None / Unknown,44.93945833,-123.0167222,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Northbound,Not a Cyclist,30,30 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410168,1,58,Male,Pedestrian,2015,January,Monday,9:00am-9:59am,Daylight,Cloudy,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,44.07148611,-123.0422583,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410187,1,35,Female,Pedestrian,2015,June,Monday,11:00pm-11:59pm,Dark - Not Lighted,Cloudy,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,44.04101389,-123.0423278,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410209,1,60,Female,Pedestrian,2015,July,Saturday,9:00pm-9:59pm,Dark - Lighted,Clear,Urban,Major Collector,T-Intersection,On Roadway,None / Unknown,45.49028889,-122.6013028,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Applicable,Not a Cyclist,30,30 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410233,1,56,Female,Pedestrian,2015,August,Friday,1:00pm-1:59pm,Daylight,Clear,Urban,Minor Arterial,T-Intersection,On Roadway,None / Unknown,45.52693056,-122.6645528,Intersection-Related,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,30,30 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410241,1,54,Female,Pedestrian,2015,August,Saturday,8:00pm-8:59pm,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.39911111,-122.274775,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
